4.000000000000000000e+00,6.924853766796204013e+00
9.000000000000000000e+00,1.110795841987069288e+01
1.900000000000000000e+01,2.039444786503799634e+01
4.900000000000000000e+01,4.817369196086650618e+01
5.900000000000000000e+01,5.519456489802304588e+01
6.900000000000000000e+01,6.415048396512298723e+01
7.900000000000000000e+01,7.111624514589844637e+01
8.900000000000000000e+01,7.857279724750763705e+01
9.900000000000000000e+01,8.580568566476773640e+01
1.090000000000000000e+02,9.450833203075366384e+01
1.190000000000000000e+02,1.027998613845239930e+02
1.290000000000000000e+02,1.103965323215836918e+02
1.390000000000000000e+02,1.187301578029670424e+02
1.490000000000000000e+02,1.257068531572638932e+02
1.590000000000000000e+02,1.326721742673002211e+02
1.690000000000000000e+02,1.386828400319799925e+02
1.790000000000000000e+02,1.495765174605879224e+02
1.890000000000000000e+02,1.509367832129506724e+02
1.990000000000000000e+02,1.602968713378168104e+02
